PLAYER,TEAM,POS,ADP,PCT_DRAFTED
Victor Wembanyama,SAS,"C",1.8,100%
Nikola Jokić,DEN,"C",2.7,100%
Luka Dončić,LAL,"PG,SG",4.7,100%
Shai Gilgeous-Alexander,OKC,"PG",6.1,100%
Cade Cunningham,DET,"PG,SG",8.5,100%
Tyrese Maxey,PHI,"PG",11.1,100%
Cooper Flagg,DAL,"SG,SF,PF",11.1,93%
Giannis Antetokounmpo,MIA,"PF,C",12.2,100%
Jayson Tatum,BOS,"SF,PF",12.3,100%
Scottie Barnes,TOR,"SF,PF,C",14.1,100%
Anthony Edwards,MIN,"PG,SG",14.9,100%
Karl-Anthony Towns,NYK,"PF,C",15.1,100%
Kevin Durant,HOU,"SG,SF,PF",15.5,100%
Jalen Johnson,ATL,"SF,PF",16.3,100%
Alperen Şengün,HOU,"PF,C",18.6,100%
Jamal Murray,DEN,"PG",18.7,100%
Donovan Mitchell,CLE,"PG,SG",19.5,100%
Kawhi Leonard,TOR,"SG,SF,PF",19.9,100%
Chet Holmgren,OKC,"PF,C",21.1,100%
Tyrese Haliburton,IND,"PG,SG",22.1,100%
Austin Reaves,LAL,"PG,SG,SF",22.4,100%
LaMelo Ball,MIN,"PG",22.5,100%
Jalen Brunson,NYK,"PG",22.9,100%
Stephen Curry,GSW,"PG",23.7,100%
Anthony Davis,WAS,"PF,C",25.0,100%
Trae Young,WAS,"PG",26.7,100%
Amen Thompson,HOU,"PG,SG",29.2,100%
Walker Kessler,LAL,"C",29.5,100%
Josh Giddey,CHI,"PG,SG",30.0,100%
Jalen Duren,DET,"C",31.4,100%
Devin Booker,PHX,"PG,SG",31.6,100%
Jaylen Brown,PHI,"SG,SF,PF",32.2,100%
Evan Mobley,CLE,"PF,C",32.4,100%
Bam Adebayo,MIA,"PF,C",34.0,100%
Domantas Sabonis,SAC,"PF,C",35.2,100%
Deni Avdija,POR,"SG,SF,PF",35.4,100%
Trey Murphy III,NOP,"SG,SF",35.9,100%
Kon Knueppel,CHA,"SG,SF",37.1,100%
Paolo Banchero,ORL,"PF",37.7,99%
